Category,Pack,FileName,Path,SizeBytes,SizeKB,UsedStatus,ReferencedBy
Vehicle (model),Awbmecreations/Mobile Optimize-Free Low Poly Cars,Sport Car_39.fbx,Assets/Awbmecreations/Mobile Optimize-Free Low Poly Cars/Models/Sport Car_39.fbx,93612,91.4,SHIPPED,City.unity dependency
Vehicle (prefab),Awbmecreations/Mobile Optimize-Free Low Poly Cars,Air Plane_1.prefab,Assets/Awbmecreations/Mobile Optimize-Free Low Poly Cars/Prefabs/Air Plane_1.prefab,12774,12.5,EDITOR-WIRED (dir),folder enumerated by VehicleBuilder.cs
Vehicle (prefab),Awbmecreations/Mobile Optimize-Free Low Poly Cars,Classic Car_9.prefab,Assets/Awbmecreations/Mobile Optimize-Free Low Poly Cars/Prefabs/Classic Car_9.prefab,12872,12.6,EDITOR-WIRED (dir),folder enumerated by VehicleBuilder.cs
Vehicle (prefab),Awbmecreations/Mobile Optimize-Free Low Poly Cars,Hatchback Car_15.prefab,Assets/Awbmecreations/Mobile Optimize-Free Low Poly Cars/Prefabs/Hatchback Car_15.prefab,12871,12.6,EDITOR-WIRED (dir),folder enumerated by VehicleBuilder.cs
Vehicle (prefab),Awbmecreations/Mobile Optimize-Free Low Poly Cars,Military Vehicle_3.prefab,Assets/Awbmecreations/Mobile Optimize-Free Low Poly Cars/Prefabs/Military Vehicle_3.prefab,4929,4.8,EDITOR-WIRED (dir),folder enumerated by VehicleBuilder.cs
Vehicle (prefab),Awbmecreations/Mobile Optimize-Free Low Poly Cars,Monster Truck_12.prefab,Assets/Awbmecreations/Mobile Optimize-Free Low Poly Cars/Prefabs/Monster Truck_12.prefab,12873,12.6,EDITOR-WIRED (dir),folder enumerated by VehicleBuilder.cs
Vehicle (prefab),Awbmecreations/Mobile Optimize-Free Low Poly Cars,N Van_10.prefab,Assets/Awbmecreations/Mobile Optimize-Free Low Poly Cars/Prefabs/N Van_10.prefab,12821,12.5,EDITOR-WIRED (dir),folder enumerated by VehicleBuilder.cs
Vehicle (prefab),Awbmecreations/Mobile Optimize-Free Low Poly Cars,N_Muscle Car_10.prefab,Assets/Awbmecreations/Mobile Optimize-Free Low Poly Cars/Prefabs/N_Muscle Car_10.prefab,12875,12.6,EDITOR-WIRED (dir),folder enumerated by VehicleBuilder.cs
Vehicle (prefab),Awbmecreations/Mobile Optimize-Free Low Poly Cars,Pick Up_11.prefab,Assets/Awbmecreations/Mobile Optimize-Free Low Poly Cars/Prefabs/Pick Up_11.prefab,12844,12.5,EDITOR-WIRED (dir),folder enumerated by VehicleBuilder.cs
Vehicle (prefab),Awbmecreations/Mobile Optimize-Free Low Poly Cars,Police Car N_4.prefab,Assets/Awbmecreations/Mobile Optimize-Free Low Poly Cars/Prefabs/Police Car N_4.prefab,4925,4.8,EDITOR-WIRED (dir),folder enumerated by VehicleBuilder.cs
Vehicle (prefab),Awbmecreations/Mobile Optimize-Free Low Poly Cars,Sport Car_39.prefab,Assets/Awbmecreations/Mobile Optimize-Free Low Poly Cars/Prefabs/Sport Car_39.prefab,12866,12.6,EDITOR-WIRED (dir),folder enumerated by VehicleBuilder.cs
Scene,Awbmecreations/Mobile Optimize-Free Low Poly Cars,FreeCar Scene.unity,Assets/Awbmecreations/Mobile Optimize-Free Low Poly Cars/Scene/FreeCar Scene.unity,40433,39.5,UNUSED,
ScriptableObject/Config,Awbmecreations/Mobile Optimize-Free Low Poly Cars,LightingData.asset,Assets/Awbmecreations/Mobile Optimize-Free Low Poly Cars/Scene/FreeCar Scene/LightingData.asset,17761,17.3,PACK-DEMO ONLY,referenced only inside its own pack by FreeCar Scene.unity
ScriptableObject/Config,Awbmecreations/Mobile Optimize-Free Low Poly Cars,PP Profile.asset,Assets/Awbmecreations/Mobile Optimize-Free Low Poly Cars/Scene/FreeCar Scene/PP Profile.asset,1461,1.4,PACK-DEMO ONLY,referenced only inside its own pack by FreeCar Scene.unity
Texture,Awbmecreations/Mobile Optimize-Free Low Poly Cars,ReflectionProbe-0.exr,Assets/Awbmecreations/Mobile Optimize-Free Low Poly Cars/Scene/FreeCar Scene/ReflectionProbe-0.exr,153018,149.4,UNUSED,
Texture,Awbmecreations/Mobile Optimize-Free Low Poly Cars,Color.png,Assets/Awbmecreations/Mobile Optimize-Free Low Poly Cars/Texture/Color.png,5121,5.0,SHIPPED,City.unity dependency
ScriptableObject/Config,Awbmecreations/Mobile Optimize-Free Low Poly Cars,Awbmecreation Urp.asset,Assets/Awbmecreations/Mobile Optimize-Free Low Poly Cars/Urp/Awbmecreation Urp.asset,3391,3.3,UNUSED,
ScriptableObject/Config,Awbmecreations/Mobile Optimize-Free Low Poly Cars,Awbmecreation Urp_1.asset,Assets/Awbmecreations/Mobile Optimize-Free Low Poly Cars/Urp/Awbmecreation Urp_1.asset,4703,4.6,UNUSED,
Script (Editor),EEJANAI_Team/Commons,ToonShaderInstaller.cs,Assets/EEJANAI_Team/Commons/Editor/ToonShaderInstaller.cs,1793,1.8,ORPHAN static class,"compiles, but nothing calls it"
Doc,EEJANAI_Team/Commons,License.pdf,Assets/EEJANAI_Team/Commons/License.pdf,17268,16.9,UNUSED,
Material,EEJANAI_Team/Commons,samplemat1.mat,Assets/EEJANAI_Team/Commons/Materials/samplemat1.mat,17184,16.8,UNUSED,
Material,EEJANAI_Team/Commons,samplemat2.mat,Assets/EEJANAI_Team/Commons/Materials/samplemat2.mat,17182,16.8,UNUSED,
Material,EEJANAI_Team/Commons,samplemat3.mat,Assets/EEJANAI_Team/Commons/Materials/samplemat3.mat,17146,16.7,REFERENCED OUTSIDE BUILD,referenced by Sample.unity
Environment (model),EEJANAI_Team/Commons,EEJANAIbot.fbx,Assets/EEJANAI_Team/Commons/Model/EEJANAIbot.fbx,1492828,1457.8,REFERENCED OUTSIDE BUILD,referenced by Sample.unity
AnimationClip,EEJANAI_Team/FreeFighterAnimations,5 inch punch.anim,Assets/EEJANAI_Team/FreeFighterAnimations/Animations/5 inch punch.anim,362407,353.9,EDITOR-WIRED (dir),folder enumerated by AnimatorBuilder.cs
AnimatorController,EEJANAI_Team/FreeFighterAnimations,5 inch punch.controller,Assets/EEJANAI_Team/FreeFighterAnimations/Animations/Animator/5 inch punch.controller,2045,2.0,PACK-DEMO ONLY,referenced only inside its own pack by Sample.unity
AnimatorController,EEJANAI_Team/FreeFighterAnimations,axe kick.controller,Assets/EEJANAI_Team/FreeFighterAnimations/Animations/Animator/axe kick.controller,2035,2.0,PACK-DEMO ONLY,referenced only inside its own pack by Sample.unity
AnimatorController,EEJANAI_Team/FreeFighterAnimations,back fist.controller,Assets/EEJANAI_Team/FreeFighterAnimations/Animations/Animator/back fist.controller,2039,2.0,PACK-DEMO ONLY,referenced only inside its own pack by Sample.unity
AnimatorController,EEJANAI_Team/FreeFighterAnimations,back kick.controller,Assets/EEJANAI_Team/FreeFighterAnimations/Animations/Animator/back kick.controller,2040,2.0,PACK-DEMO ONLY,referenced only inside its own pack by Sample.unity
AnimatorController,EEJANAI_Team/FreeFighterAnimations,charge fist.controller,Assets/EEJANAI_Team/FreeFighterAnimations/Animations/Animator/charge fist.controller,2044,2.0,PACK-DEMO ONLY,referenced only inside its own pack by Sample.unity
AnimatorController,EEJANAI_Team/FreeFighterAnimations,combo.controller,Assets/EEJANAI_Team/FreeFighterAnimations/Animations/Animator/combo.controller,2030,2.0,PACK-DEMO ONLY,referenced only inside its own pack by Sample.unity
AnimatorController,EEJANAI_Team/FreeFighterAnimations,cressent kick.controller,Assets/EEJANAI_Team/FreeFighterAnimations/Animations/Animator/cressent kick.controller,2047,2.0,PACK-DEMO ONLY,referenced only inside its own pack by Sample.unity
AnimatorController,EEJANAI_Team/FreeFighterAnimations,elbow chop.controller,Assets/EEJANAI_Team/FreeFighterAnimations/Animations/Animator/elbow chop.controller,2041,2.0,PACK-DEMO ONLY,referenced only inside its own pack by Sample.unity
AnimatorController,EEJANAI_Team/FreeFighterAnimations,front sweep.controller,Assets/EEJANAI_Team/FreeFighterAnimations/Animations/Animator/front sweep.controller,2041,2.0,PACK-DEMO ONLY,referenced only inside its own pack by Sample.unity
AnimatorController,EEJANAI_Team/FreeFighterAnimations,jumping side kick.controller,Assets/EEJANAI_Team/FreeFighterAnimations/Animations/Animator/jumping side kick.controller,2053,2.0,PACK-DEMO ONLY,referenced only inside its own pack by Sample.unity
AnimatorController,EEJANAI_Team/FreeFighterAnimations,jumping uppercut.controller,Assets/EEJANAI_Team/FreeFighterAnimations/Animations/Animator/jumping uppercut.controller,2053,2.0,PACK-DEMO ONLY,referenced only inside its own pack by Sample.unity
AnimatorController,EEJANAI_Team/FreeFighterAnimations,knee strike.controller,Assets/EEJANAI_Team/FreeFighterAnimations/Animations/Animator/knee strike.controller,2043,2.0,PACK-DEMO ONLY,referenced only inside its own pack by Sample.unity
AnimatorController,EEJANAI_Team/FreeFighterAnimations,kungfu samba.controller,Assets/EEJANAI_Team/FreeFighterAnimations/Animations/Animator/kungfu samba.controller,2042,2.0,PACK-DEMO ONLY,referenced only inside its own pack by Sample.unity
AnimatorController,EEJANAI_Team/FreeFighterAnimations,low kick.controller,Assets/EEJANAI_Team/FreeFighterAnimations/Animations/Animator/low kick.controller,2034,2.0,PACK-DEMO ONLY,referenced only inside its own pack by Sample.unity
AnimatorController,EEJANAI_Team/FreeFighterAnimations,spinning axe kick.controller,Assets/EEJANAI_Team/FreeFighterAnimations/Animations/Animator/spinning axe kick.controller,2052,2.0,PACK-DEMO ONLY,referenced only inside its own pack by Sample.unity
AnimatorController,EEJANAI_Team/FreeFighterAnimations,spinning elbow.controller,Assets/EEJANAI_Team/FreeFighterAnimations/Animations/Animator/spinning elbow.controller,2047,2.0,PACK-DEMO ONLY,referenced only inside its own pack by Sample.unity
AnimatorController,EEJANAI_Team/FreeFighterAnimations,super blast.controller,Assets/EEJANAI_Team/FreeFighterAnimations/Animations/Animator/super blast.controller,2042,2.0,PACK-DEMO ONLY,referenced only inside its own pack by Sample.unity
AnimatorController,EEJANAI_Team/FreeFighterAnimations,webster side kick.controller,Assets/EEJANAI_Team/FreeFighterAnimations/Animations/Animator/webster side kick.controller,2056,2.0,PACK-DEMO ONLY,referenced only inside its own pack by Sample.unity
AnimatorController,EEJANAI_Team/FreeFighterAnimations,akk.controller,Assets/EEJANAI_Team/FreeFighterAnimations/Animations/akk.controller,15800,15.4,EDITOR-WIRED (dir),folder enumerated by AnimatorBuilder.cs
AnimationClip,EEJANAI_Team/FreeFighterAnimations,axe kick.anim,Assets/EEJANAI_Team/FreeFighterAnimations/Animations/axe kick.anim,497311,485.7,EDITOR-WIRED (dir),folder enumerated by AnimatorBuilder.cs
AnimationClip,EEJANAI_Team/FreeFighterAnimations,back fist.anim,Assets/EEJANAI_Team/FreeFighterAnimations/Animations/back fist.anim,471146,460.1,SHIPPED,City.unity dependency
AnimationClip,EEJANAI_Team/FreeFighterAnimations,back kick.anim,Assets/EEJANAI_Team/FreeFighterAnimations/Animations/back kick.anim,465148,454.2,EDITOR-WIRED (dir),folder enumerated by AnimatorBuilder.cs
AnimationClip,EEJANAI_Team/FreeFighterAnimations,charge fist.anim,Assets/EEJANAI_Team/FreeFighterAnimations/Animations/charge fist.anim,409478,399.9,EDITOR-WIRED (dir),folder enumerated by AnimatorBuilder.cs
AnimationClip,EEJANAI_Team/FreeFighterAnimations,combo.anim,Assets/EEJANAI_Team/FreeFighterAnimations/Animations/combo.anim,886196,865.4,EDITOR-WIRED (dir),folder enumerated by AnimatorBuilder.cs
AnimationClip,EEJANAI_Team/FreeFighterAnimations,cressent kick.anim,Assets/EEJANAI_Team/FreeFighterAnimations/Animations/cressent kick.anim,680936,665.0,EDITOR-WIRED (dir),folder enumerated by AnimatorBuilder.cs
AnimationClip,EEJANAI_Team/FreeFighterAnimations,elbow chop.anim,Assets/EEJANAI_Team/FreeFighterAnimations/Animations/elbow chop.anim,426435,416.4,EDITOR-WIRED (dir),folder enumerated by AnimatorBuilder.cs
AnimationClip,EEJANAI_Team/FreeFighterAnimations,front sweep.anim,Assets/EEJANAI_Team/FreeFighterAnimations/Animations/front sweep.anim,373128,364.4,EDITOR-WIRED (dir),folder enumerated by AnimatorBuilder.cs
AnimationClip,EEJANAI_Team/FreeFighterAnimations,jumping side kick.anim,Assets/EEJANAI_Team/FreeFighterAnimations/Animations/jumping side kick.anim,424798,414.8,EDITOR-WIRED (dir),folder enumerated by AnimatorBuilder.cs
AnimationClip,EEJANAI_Team/FreeFighterAnimations,jumping uppercut.anim,Assets/EEJANAI_Team/FreeFighterAnimations/Animations/jumping uppercut.anim,625647,611.0,EDITOR-WIRED (dir),folder enumerated by AnimatorBuilder.cs
AnimationClip,EEJANAI_Team/FreeFighterAnimations,knee strike.anim,Assets/EEJANAI_Team/FreeFighterAnimations/Animations/knee strike.anim,217792,212.7,EDITOR-WIRED (dir),folder enumerated by AnimatorBuilder.cs
AnimationClip,EEJANAI_Team/FreeFighterAnimations,kungfu samba.anim,Assets/EEJANAI_Team/FreeFighterAnimations/Animations/kungfu samba.anim,853878,833.9,EDITOR-WIRED (dir),folder enumerated by AnimatorBuilder.cs
AnimationClip,EEJANAI_Team/FreeFighterAnimations,low kick.anim,Assets/EEJANAI_Team/FreeFighterAnimations/Animations/low kick.anim,495987,484.4,EDITOR-WIRED (dir),folder enumerated by AnimatorBuilder.cs
AnimationClip,EEJANAI_Team/FreeFighterAnimations,spinning axe kick.anim,Assets/EEJANAI_Team/FreeFighterAnimations/Animations/spinning axe kick.anim,432538,422.4,EDITOR-WIRED (dir),folder enumerated by AnimatorBuilder.cs
AnimationClip,EEJANAI_Team/FreeFighterAnimations,spinning elbow.anim,Assets/EEJANAI_Team/FreeFighterAnimations/Animations/spinning elbow.anim,472592,461.5,EDITOR-WIRED (dir),folder enumerated by AnimatorBuilder.cs
AnimationClip,EEJANAI_Team/FreeFighterAnimations,super blast.anim,Assets/EEJANAI_Team/FreeFighterAnimations/Animations/super blast.anim,575502,562.0,EDITOR-WIRED (dir),folder enumerated by AnimatorBuilder.cs
AnimationClip,EEJANAI_Team/FreeFighterAnimations,webster side kick.anim,Assets/EEJANAI_Team/FreeFighterAnimations/Animations/webster side kick.anim,444133,433.7,EDITOR-WIRED (dir),folder enumerated by AnimatorBuilder.cs
Environment (model),EEJANAI_Team/FreeFighterAnimations,5 inch punch.fbx,Assets/EEJANAI_Team/FreeFighterAnimations/FBX/5 inch punch.fbx,4008000,3914.1,UNUSED,
Weapon (model),EEJANAI_Team/FreeFighterAnimations,axe kick.fbx,Assets/EEJANAI_Team/FreeFighterAnimations/FBX/axe kick.fbx,3962608,3869.7,UNUSED,
Environment (model),EEJANAI_Team/FreeFighterAnimations,back fist.fbx,Assets/EEJANAI_Team/FreeFighterAnimations/FBX/back fist.fbx,3873840,3783.0,UNUSED,
Environment (model),EEJANAI_Team/FreeFighterAnimations,back kick.fbx,Assets/EEJANAI_Team/FreeFighterAnimations/FBX/back kick.fbx,3873840,3783.0,UNUSED,
Environment (model),EEJANAI_Team/FreeFighterAnimations,charge fist.fbx,Assets/EEJANAI_Team/FreeFighterAnimations/FBX/charge fist.fbx,4097280,4001.2,UNUSED,
Environment (model),EEJANAI_Team/FreeFighterAnimations,combo.fbx,Assets/EEJANAI_Team/FreeFighterAnimations/FBX/combo.fbx,4317920,4216.7,UNUSED,
Environment (model),EEJANAI_Team/FreeFighterAnimations,cressent kick.fbx,Assets/EEJANAI_Team/FreeFighterAnimations/FBX/cressent kick.fbx,4228896,4129.8,UNUSED,
Environment (model),EEJANAI_Team/FreeFighterAnimations,elbow chop.fbx,Assets/EEJANAI_Team/FreeFighterAnimations/FBX/elbow chop.fbx,3814528,3725.1,UNUSED,
Environment (model),EEJANAI_Team/FreeFighterAnimations,front sweep.fbx,Assets/EEJANAI_Team/FreeFighterAnimations/FBX/front sweep.fbx,3850176,3759.9,UNUSED,
Environment (model),EEJANAI_Team/FreeFighterAnimations,jumping side kick.fbx,Assets/EEJANAI_Team/FreeFighterAnimations/FBX/jumping side kick.fbx,3850288,3760.0,UNUSED,
Environment (model),EEJANAI_Team/FreeFighterAnimations,jumping uppercut.fbx,Assets/EEJANAI_Team/FreeFighterAnimations/FBX/jumping uppercut.fbx,3963392,3870.5,UNUSED,
Environment (model),EEJANAI_Team/FreeFighterAnimations,knee strike.fbx,Assets/EEJANAI_Team/FreeFighterAnimations/FBX/knee strike.fbx,3784800,3696.1,UNUSED,
Environment (model),EEJANAI_Team/FreeFighterAnimations,kungfu samba.fbx,Assets/EEJANAI_Team/FreeFighterAnimations/FBX/kungfu samba.fbx,4166624,4069.0,UNUSED,
Environment (model),EEJANAI_Team/FreeFighterAnimations,low kick.fbx,Assets/EEJANAI_Team/FreeFighterAnimations/FBX/low kick.fbx,4007968,3914.0,UNUSED,
Weapon (model),EEJANAI_Team/FreeFighterAnimations,spinning axe kick.fbx,Assets/EEJANAI_Team/FreeFighterAnimations/FBX/spinning axe kick.fbx,3874112,3783.3,UNUSED,
Environment (model),EEJANAI_Team/FreeFighterAnimations,spinning elbow.fbx,Assets/EEJANAI_Team/FreeFighterAnimations/FBX/spinning elbow.fbx,3900656,3809.2,UNUSED,
Environment (model),EEJANAI_Team/FreeFighterAnimations,super blast.fbx,Assets/EEJANAI_Team/FreeFighterAnimations/FBX/super blast.fbx,4409872,4306.5,UNUSED,
Environment (model),EEJANAI_Team/FreeFighterAnimations,webster side kick.fbx,Assets/EEJANAI_Team/FreeFighterAnimations/FBX/webster side kick.fbx,4028480,3934.1,UNUSED,
Scene,EEJANAI_Team/FreeFighterAnimations,Sample.unity,Assets/EEJANAI_Team/FreeFighterAnimations/Scenes/Sample.unity,123102,120.2,UNUSED,
Doc,EEJANAI_Team/Readme.pdf,Readme.pdf,Assets/EEJANAI_Team/Readme.pdf,35850,35.0,UNUSED,
Script (Editor),Assets/Editor,AndroidBuild.cs,Assets/Editor/AndroidBuild.cs,11467,11.2,USED (menu + code),Unity menu entry point; referenced by SectionVerify.cs
Script (Editor),Assets/Editor,AnimationVerify.cs,Assets/Editor/AnimationVerify.cs,16401,16.0,ENTRY POINT (menu),invoked from the Unity menu bar; nothing else references it
Script (Editor),Assets/Editor,AnimatorBuilder.cs,Assets/Editor/AnimatorBuilder.cs,29193,28.5,USED (menu + code),"Unity menu entry point; referenced by BuildEverything.cs, PlayerAnimation.cs"
Script (Editor),Assets/Editor,AssetPackSetup.cs,Assets/Editor/AssetPackSetup.cs,8017,7.8,USED (menu + code),Unity menu entry point; referenced by BuildEverything.cs
Script (Editor),Assets/Editor,BenchRunner.cs,Assets/Editor/BenchRunner.cs,1438,1.4,ORPHAN static class,"compiles, but nothing calls it"
Script (Editor),Assets/Editor,BuildEverything.cs,Assets/Editor/BuildEverything.cs,6454,6.3,USED (menu + code),Unity menu entry point; referenced by SceneAssembler.cs
Script (Editor),Assets/Editor,CharacterCatalog.cs,Assets/Editor/CharacterCatalog.cs,8937,8.7,USED (code),"referenced by CharacterPrefabBuilder.cs, InteriorBuilder.cs, LobbyBuilder.cs +5 more"
Script (Editor),Assets/Editor,CharacterPrefabBuilder.cs,Assets/Editor/CharacterPrefabBuilder.cs,3507,3.4,USED (menu + code),"Unity menu entry point; referenced by BuildEverything.cs, SceneAssembler.cs"
Script (Editor),Assets/Editor,CityBuilder.cs,Assets/Editor/CityBuilder.cs,39309,38.4,USED (menu + code),"Unity menu entry point; referenced by BuildEverything.cs, EnvironmentCatalog.cs, InteriorBuilder.cs +7 more"
Script (Editor),Assets/Editor,EnvironmentCatalog.cs,Assets/Editor/EnvironmentCatalog.cs,20755,20.3,USED (code),"referenced by CityBuilder.cs, InteriorBuilder.cs, PerformanceSetup.cs +1 more"
Script (Editor),Assets/Editor,HarborBuilder.cs,Assets/Editor/HarborBuilder.cs,12872,12.6,USED (menu + code),Unity menu entry point; referenced by SectionVerify.cs
Script (Editor),Assets/Editor,IconBuilder.cs,Assets/Editor/IconBuilder.cs,7796,7.6,USED (menu + code),Unity menu entry point; referenced by SectionVerify.cs
Script (Editor),Assets/Editor,InteriorBuilder.cs,Assets/Editor/InteriorBuilder.cs,27091,26.5,USED (menu + code),"Unity menu entry point; referenced by BuildEverything.cs, SkinLibrary.cs"
Script (Editor),Assets/Editor,IosSetup.cs,Assets/Editor/IosSetup.cs,4662,4.6,ENTRY POINT (menu),invoked from the Unity menu bar; nothing else references it
Script (Editor),Assets/Editor,LobbyBuilder.cs,Assets/Editor/LobbyBuilder.cs,51555,50.3,USED (code),"referenced by MenuBuilder.cs, SceneAssembler.cs, UiTheme.cs"
Script (Editor),Assets/Editor,McpConnectionCheck.cs,Assets/Editor/McpConnectionCheck.cs,1027,1.0,ENTRY POINT (menu),invoked from the Unity menu bar; nothing else references it
Script (Editor),Assets/Editor,MenuBuilder.cs,Assets/Editor/MenuBuilder.cs,43781,42.8,USED (menu + code),"Unity menu entry point; referenced by LobbyBuilder.cs, SceneAssembler.cs, UiTheme.cs"
Script (Editor),Assets/Editor,MissionBuilder.cs,Assets/Editor/MissionBuilder.cs,12482,12.2,USED (menu + code),"Unity menu entry point; referenced by BuildEverything.cs, CityBuilder.cs"
Script (Editor),Assets/Editor,MixamoImportSetup.cs,Assets/Editor/MixamoImportSetup.cs,10201,10.0,USED (menu + code),Unity menu entry point; referenced by BuildEverything.cs
Script (Editor),Assets/Editor,MobileSetup.cs,Assets/Editor/MobileSetup.cs,9269,9.1,USED (menu + code),Unity menu entry point; referenced by BuildEverything.cs
Script (Editor),Assets/Editor,NpcBuilder.cs,Assets/Editor/NpcBuilder.cs,10962,10.7,USED (menu + code),Unity menu entry point; referenced by HarborBuilder.cs
Script (Editor),Assets/Editor,PerformanceSetup.cs,Assets/Editor/PerformanceSetup.cs,5427,5.3,USED (menu + code),"Unity menu entry point; referenced by BuildEverything.cs, EnvironmentCatalog.cs"
Script (Editor),Assets/Editor,PhaseCapture.cs,Assets/Editor/PhaseCapture.cs,11988,11.7,USED (code),"referenced by SectionVerify.cs, UiResponsive.cs"
Script (Editor),Assets/Editor,RoadNetworkBuilder.cs,Assets/Editor/RoadNetworkBuilder.cs,18373,17.9,USED (menu + code),"Unity menu entry point; referenced by BuildEverything.cs, MissionBuilder.cs, SceneAssembler.cs +1 more"
Script (Editor),Assets/Editor,SceneAssembler.cs,Assets/Editor/SceneAssembler.cs,110883,108.3,USED (menu + code),"Unity menu entry point; referenced by BuildEverything.cs, LobbyBuilder.cs, MenuBuilder.cs +1 more"
Script (Editor),Assets/Editor,SectionVerify.cs,Assets/Editor/SectionVerify.cs,6961,6.8,ENTRY POINT (menu),invoked from the Unity menu bar; nothing else references it
Script (Editor),Assets/Editor,TerrainBuilder.cs,Assets/Editor/TerrainBuilder.cs,13366,13.1,USED (menu + code),"Unity menu entry point; referenced by BuildEverything.cs, CityBuilder.cs, MenuBuilder.cs +5 more"
Script (Editor),Assets/Editor,TrafficBuilder.cs,Assets/Editor/TrafficBuilder.cs,11746,11.5,USED (menu + code),"Unity menu entry point; referenced by BuildEverything.cs, HarborBuilder.cs, CrowdDirector.cs"
Script (Editor),Assets/Editor,UiResponsive.cs,Assets/Editor/UiResponsive.cs,21205,20.7,ENTRY POINT (menu),invoked from the Unity menu bar; nothing else references it
Script (Editor),Assets/Editor,UiTheme.cs,Assets/Editor/UiTheme.cs,51465,50.3,USED (menu + code),"Unity menu entry point; referenced by BuildEverything.cs, LobbyBuilder.cs, MenuBuilder.cs +3 more"
Script (Editor),Assets/Editor,UrpMaterialFixer.cs,Assets/Editor/UrpMaterialFixer.cs,5639,5.5,USED (menu + code),Unity menu entry point; referenced by SectionVerify.cs
Script (Editor),Assets/Editor,VehicleBuilder.cs,Assets/Editor/VehicleBuilder.cs,27516,26.9,USED (menu + code),"Unity menu entry point; referenced by BuildEverything.cs, SceneAssembler.cs"
Script (Editor),Assets/Editor,WeaponSetup.cs,Assets/Editor/WeaponSetup.cs,16210,15.8,USED (menu + code),"Unity menu entry point; referenced by BuildEverything.cs, CharacterPrefabBuilder.cs, SceneAssembler.cs"
